cx,cy
508,192
511,201
495,190
1262,518
522,210
536,212
549,213
550,218
570,218
572,222
593,222
593,231
633,224
617,235
623,239
622,245
624,253
627,260
638,264
644,271
657,274
661,284
673,289
681,295
686,306
692,315
697,325
706,332
718,337
725,344
725,360
735,366
754,362
746,388
756,394
756,394
756,394
1901,561
642,87
795,476
636,407
808,513
811,529
813,549
805,569
807,578
810,585
809,595
810,602
811,609
808,616
1265,531
780,623
1252,536
799,620
792,620
784,622
775,624
766,625
754,627
769,638
739,626
732,626
724,626
714,627
705,627
696,628
688,628
680,629
669,629
661,629
652,630
646,629
640,630
633,629
626,629
620,630
621,630
622,630
622,631
622,631
621,632
627,634
651,634
648,634
649,635
657,636
661,636
669,636
675,637
680,638
687,638
691,643
694,647
700,652
701,660
789,523
706,677
710,683
716,691
720,700
727,706
734,713
739,720
745,725
753,732
868,532
750,741
885,534
167,537
961,529
965,524
987,524
831,538
1003,522
817,819
653,680
633,540
823,849
829,856
838,861
840,875
847,882
851,900
838,907
852,928
626,35
1280,556
849,943
841,943
837,939
824,938
811,936
813,932
829,932
806,925
799,921
791,915
782,911
772,907
764,904
755,900
747,898
740,895
740,895
736,894
738,894
739,892
740,890
744,887
746,884
748,880
748,876
749,873
746,868
742,864
733,858
729,856
717,850
708,833
672,840
693,834
683,831
667,826
666,821
654,818
645,814
638,811
631,808
627,805
626,802
625,799
598,792
624,793
624,788
625,786
399,542
603,779
615,777
628,777
628,776
627,772
635,770
605,772
623,760
622,754
625,749
622,740
621,748
1897,547
646,702
931,538
953,538
635,663
631,649
623,634
621,624
1063,537
621,606
595,581
878,523
589,555
584,541
583,529
581,515
576,502
1230,536
575,479
574,465
573,453
571,437
573,422
571,404
573,388
571,370
573,355
1907,709
1914,639
573,309
1271,549
576,283
575,269
582,278
224,535
224,535
224,535
574,209
579,202
572,188
568,176
565,168
558,158
557,152
549,140
548,134
541,123
539,117
537,111
540,106
544,102
548,97
548,91
556,88
581,536
580,85
628,537
1896,927
586,89
695,535
695,535
740,537
761,538
773,536
1900,777
635,219
925,535
523,118
531,120
500,126
1282,110
488,131
478,133
468,135
457,135
445,135
450,143
426,133
416,130
402,126
393,126
396,132
376,126
369,128
361,127
349,126
343,127
327,122
316,122
305,118
302,117
291,116
276,112
274,114
260,113
253,113
238,112
428,540
226,111
220,110
207,108
204,109
200,106
190,104
183,99
193,96
1910,771
151,79
151,79
628,133
634,973
151,60
161,59
1281,722
0,0
151,52
151,52
626,531
642,114
641,317
0,0
106,46
638,538
1911,906
94,46
707,538
81,43
109,30
89,41
62,38
57,36
57,36
41,34
1901,590
22,32
